Number,Horse Name,Barrier,Jockey,Weight,Trainer,Last 10,Career,Rating,Win %,Place %,Avg Prize
1.,I'm Kenough,13,Jett Stanley,58kg,L & T & W Corstens & Larkin,-,-,-,0%,40%,"$12,435"
2.,Malletier,7,Blake Shinn,58kg,T & C McEvoy,-,-,-,0%,0%,$0
3.,Silver Capital,3,Ryan Hurdle,58kg,Vincent Malady,-,-,-,0%,0%,$0
4.,Sponge Bob,11,Luke Currie,58kg,David & Matt Brideoake & Jenkins,-,-,-,0%,0%,$0
5.,Star Territory,2,Rhys Mc Leod,58kg,Nick Ryan,-,-,-,0%,0%,$0
6.,Storm The Gates,3,Jake Noonan,58kg,Charles Cassar,-,-,-,0%,0%,$0
7.,Fearless Monarch,9,Teodore Nugent,56kg,Adrian McGregor,-,-,-,0%,0%,$0
8.,Kamezali,1,John Allen,56kg,Ciaron Maher,-,-,-,0%,0%,$0
9.,Rambling,8,Jordan Childs,56kg,M G & M Price & Kent,-,-,-,0%,0%,$0
10.,Sans Egal,5,Neil Farley,56kg,Charles Cassar,-,-,-,0%,0%,$0
11.,Silent Shares,1,Jamie Mott,56kg,Gavin Bedggood,-,-,-,0%,0%,$0
12.,Spiral Dream,7,Declan Bates,56kg,Ciaron Maher,-,-,-,0%,0%,$0
14e.,Version,4,Daniel Moor,56kg,M G & M Price & Kent,-,-,-,0%,0%,"$1,875"
15e.,Sotomayor,6,Luke Currie,58kg,Matt Laurie,-,-,-,0%,50%,"$3,430"
13e.,Secretdream,14,Harry Coffey,56kg,Matt Cumani,-,-,-,0%,100%,"$6,990"
16e.,Ultra Blue,4,-,58kg,Tom Dabernig,-,-,-,0%,0%,$675
